4375304811226095220	[6,11144]	[12,12]
4375319407004737028	[6,13,11144,15276,15932,15957]	[57,2,57,2,2,2]
4375467689487537186	[2,6,10,10850,10900,11144,15276,15920,15934,15958,15970]	[136,20,1,1,136,20,31,1,1,1,29]
4375503807991565975	[2,6,9,10854,10896,11144,15276,15932,15942,15970,15978,16012,16017]	[1,25,1,1,1,25,2,1,1,1,1,1,1]
4375522104840277284	[6,11144,15276,15931,15958]	[2,2,1,1,1]
4375531310782088763	[2,6,10900,11146,15276,15932,15935]	[2,2,2,2,2,2,2]
4375834649997564087	[6,11144]	[2,2]
4376026641959617958	[6,7,9,11,19,10519,10527,10740,10816,11061,11063,11144,11146,15276,15912,15922,15932,15935,15942,15958,15959,15960,15963,15971,15973,15978,15989,16017,16440,16442,16446,16455,16463,16479]	[64,2,2,2,2,2,2,2,2,2,2,64,1,20,8,2,2,1,2,5,3,3,2,1,2,1,2,1,1,2,1,1,1,1]
4376167756882643762	[15276,15932]	[1,1]
4376218243876589997	[10,15276,15920,15985]	[1,44,1,43]
4376270141242462657	[2,5,6,19,10634,10740,10816,10848,10900,11076,11142,11144,11155,11176,15276,15912,15916,15932,15954,15958,15959,15960,15970,15973,15978]	[8,1,30,20,1,20,20,7,2,3,1,29,3,1,28,6,6,1,7,7,2,2,8,3,1]
4376326444991661907	[6,9,19,10740,10816,11047,11076,11110,11144,11155,15276,15922,15932,15942,15973]	[32,28,2,2,2,26,2,26,32,2,9,2,5,2,2]
4376418814149806163	[9,15276,15942,15958]	[2,3,2,1]
4376456124581965877	[1,6,9,10274,10278,10279,10298,10603,10922,11050,11051,11055,11108,11142,11144,15276,15929,15932,15937,15942,15953,15954,15958,15959,15967,15971,15975,16002,16440,16441,16443,16452,16466]	[6,31,6,3,1,2,1,5,2,5,5,1,5,1,30,13,6,1,1,4,1,1,3,1,2,2,1,1,2,1,1,1,2]
4376533946170841068	[9,16,11050,11053,15276,15941,15942,15958,15977]	[1,1,1,1,12,4,1,6,1]
4376597651639294800	[2,9,12,10900,11050,11052,15276,15941,15942,16010]	[1,3,1,1,3,3,4,1,3,1]
4376681511855844406	[1,6,10278,10298,11144,15276,15929]	[1,17,1,1,17,1,1]
4376707545306463666	[1,2,6,9,19,10272,10279,10281,10742,10768,10901,10906,11142,11144,15276,15929,15932,15942,15948,15954,15958,15959,15960,15967,15969]	[2,6,5,1,7,2,2,2,7,7,6,6,1,4,26,2,1,1,19,1,1,2,2,2,19]
4376722757123133583	[6,11144]	[1,1]
4376817267191319886	[19,10740,10816,15276,15922,15973]	[1,1,1,1,1,1]
