5050671711025578785	[6,11144]	[5,5]
5050688017061587559	[6,11144,15276,15948,15969]	[7,7,2,2,2]
5050722002008659725	[6,11144]	[47,47]
5050738313742855867	[6,11,11060,11144,15276,15937,15947,15958,15975,16444]	[9,1,1,9,10,5,2,5,5,2]
5050746174056438905	[6,11142,11144,15276,15931,15932,15954,15958,15959,15978]	[59,10,49,14,2,12,10,2,2,2]
5050746460221201483	[6,11144]	[5,5]
5050759142661641143	[1,2,6,7,12,10519,10527,10900,11144,15276,15929,15941,15959,15960,15966,15970,16000,16010]	[1,28,22,2,2,2,2,28,22,7,1,2,3,3,1,1,1,2]
5050765862336402118	[2,10900,15276,15931,15958,15970]	[68,68,10,3,3,7]
5050776438679293721	[6,13,11144,15276,15932,15957]	[2,1,2,1,1,1]
5050792978278738909	[6,9,11047,11110,11144]	[7,12,12,12,7]
5050795987374561299	[15276,15931,15941,15958]	[7,1,6,1]
5050805520657571087	[6,11142,15276,15912,15932,15954]	[18,18,31,12,19,25]
5050820918948731340	[6,11144]	[48,48]
5050837048285447958	[7,10519,15276,15928,15958,15991,16003,16447,16462,16464]	[1,1,1,1,1,1,1,1,1,1]
5050865674379433678	[5,6,10634,11144,11176,15276,15958]	[1,5,1,5,1,21,21]
5050870352195412885	[2,10900,15276,15912,15970]	[4,4,6,4,2]
5050899261614380958	[7,11,10519,10527,15276,15936,15945,15947,15958,15963,15971,16440,16442,16444,16450,16453]	[1,1,1,1,14,1,1,1,14,1,5,5,1,1,1,1]
5050902143744680574	[1,7,19,10272,10281,10518,10525,10740,10813,10816,15276,15922,15929,15958,15973]	[5,1,3,4,4,1,1,3,1,2,4,2,1,1,2]
5050921539217772568	[1,2,6,9,10272,10279,10281,10900,11050,11052,11053,11144,15276,15929,15930,15933,15942,15967]	[5,4,13,7,5,1,5,4,7,4,3,13,11,1,3,3,7,1]
5050963872946811968	[6,9,13,11144,15276,15932,15942,15952,15957]	[19,3,1,19,5,1,3,1,1]
