9951924215497005414	[6,11144]	[1,1]
9951954874994704700	[19,10740,10816]	[76,76,76]
9951964347010558299	[15276,15931,15958]	[1,1,1]
9952039804648716370	[6,9,11144,15276,15942]	[26,1,26,1,1]
9952049167409379087	[15276,15941]	[1,1]
9952061457355812319	[6,8,11144,15276,15912,15932,15936,15958,15962,15978,16017,16453]	[53,1,53,14,11,1,1,1,1,1,1,1]
9952063051971157524	[1,2,10274,10278,10298,10900,15276,15929,15970,16002]	[9,1,6,9,9,1,10,9,1,6]
9952064081871432291	[1,2,6,13,19,10274,10740,10814,10816,10901,10904,11076,11144,11155,11159,15276,15922,15929,15932,15957,15972,15973,16002]	[12,1,9,2,52,12,37,1,35,1,1,22,9,19,3,43,20,11,2,2,3,26,10]
9952088766023040658	[2,10900,15276,15930,15933,15958,15970,15971,16440]	[3,3,4,3,3,1,3,1,1]
9952117426361073230	[6,11144]	[1,1]
9952125923667514077	[6,9,12,13,18,19,10603,10606,10740,10816,11050,11051,11053,11108,11142,11144,11146,15276,15922,15931,15932,15935,15938,15941,15942,15954,15955,15957,15958,15973,15988,16010,16448,16466]	[239,6,1,1,1,2,3,1,2,2,6,3,3,3,16,220,3,60,2,6,23,3,24,1,3,16,1,1,7,2,1,1,1,1]
9952126086505160838	[6,13,11144,15276,15928,15957]	[15,1,15,2,1,1]
9952139246676468116	[6,9,11050,11052,11144,15276,15942]	[1,2,2,2,1,2,2]
9952145602279107017	[6,13,11101,11144,15276,15932,15952,15957,15958,15959,15963,15971,15987,16442]	[115,7,1,115,15,9,2,7,3,1,3,1,1,3]
9952157420164956054	[2,3,6,9,11,13,10241,10242,10603,10847,10859,11050,11051,11055,11061,11063,11108,11144,15276,15912,15932,15937,15942,15945,15957,15958,15959,15975,15978,16017]	[1,1,71,2,1,3,1,1,1,1,1,1,1,1,1,1,1,71,38,24,5,3,1,1,3,3,1,3,2,2]
9952167685854484245	[6,13,11144,15276,15957]	[2,1,2,1,1]
9952184910619523104	[1,6,10274,10278,10298,11144,15276,15929]	[26,13,1,25,25,13,26,26]
9952199422703935719	[2,3,6,8,9,10,13,19,10257,10600,10740,10816,10900,10935,11144,11146,15276,15915,15920,15922,15932,15935,15936,15953,15957,15958,15959,15962,15963,15970,15971,15973,15975,15978,16004,16017,16440,16442,16455,16456]	[1,1,140,1,11,26,9,2,1,11,2,2,1,17,139,1,52,1,26,2,9,1,1,1,9,6,3,1,2,1,1,2,1,2,1,2,1,2,1,1]
9952212700856625080	[6,11144,15276,15937,15958,15963,15971,15975,16440,16441,16442]	[3,3,17,1,16,1,4,5,4,4,1]
9952214737453059617	[19,10740,10814]	[1,1,1]
