2636019984394512399	[6,11144]	[1,1]
2636046508331193634	[15276,15911,15958]	[1,1,1]
2636050547910668208	[2,6,19,10740,10813,10900,11142,15276,15932,15954,15970]	[2,1,2,2,2,2,1,4,2,1,2]
2636105936962795099	[9,15276,15942]	[1,1,1]
2636110419714484977	[8,15276,15936]	[1,1,1]
2636363666418870477	[1,6,11,10274,10614,11061,11063,11144,15276,15929,15945,15989]	[2,6,8,1,2,2,2,6,9,1,8,2]
2636754369087489712	[6,11144,11147,15276,15958,15978,16456]	[18,15,3,5,5,3,3]
2636763776325647239	[6,9,13,11050,11053,11101,11144,11146,15276,15932,15935,15942,15957,15978,16017]	[19,1,2,1,1,1,16,3,6,5,3,1,2,1,1]
2636765893222690304	[6,13,11101,11104,11144,15276,15932,15952,15957]	[6,4,4,4,6,3,1,2,1]
2636783437522313567	[2,6,10850,10900,11144,15276,15934,15970]	[1,11,1,1,11,1,1,1]
2636848333452455827	[15276,15958,15971,16440]	[20,20,1,1]
2636861680079528599	[2,4,6,19,10353,10740,10816,10850,10883,10900,11144,15276,15934,15970,15979]	[7,2,19,39,2,39,39,2,2,5,19,6,2,6,2]
2636901554870620847	[6,19,10740,10816,11144,11146,15276,15922,15928,15931,15935,15948,15958,15969,15971,15973,15987,16440,16447,16483]	[34,1,1,1,16,18,12,1,1,2,4,2,5,2,1,1,1,1,1,1]
2637101340558948765	[1,2,6,11,17,10709,10900,10901,10902,10907,10911,11060,11144,15276,15912,15919,15929,15930,15958,15970,16016,16449,16467]	[3,41,4,2,33,33,40,8,33,8,33,2,4,73,20,33,3,8,10,38,1,1,1]
2637160947270798163	[2,6,9,10900,11142,11144,11146,15276,15932,15935,15938,15942,15954]	[2,80,1,2,7,72,1,10,8,1,1,1,7]
2637245872058720613	[6,9,13,19,10603,10740,10742,10816,11050,11051,11076,11108,11144,11155,15276,15932,15942,15955,15957,15973,15978,16017]	[46,10,1,2,7,2,2,2,7,7,2,7,46,2,7,2,3,2,1,4,1,1]
2637313695373929773	[6,12,13,11101,11102,11104,11144,15276,15932,15941,15952,15957,16010]	[78,1,12,9,8,1,78,7,3,1,2,4,1]
2637515958551866544	[6,9,11055,11144,15276,15937,15975]	[4,2,2,4,1,1,1]
2637516527632355178	[1,6,11144,15276,15929,15931]	[9,15,15,9,9,2]
2637528027210446837	[2,19,10740,10816,10848,10900,11076,11159,15276,15916,15922,15970,15973]	[13,5,5,5,3,10,5,5,9,3,5,1,5]
