2104940164058408920	[6,11144]	[13,13]
2105075073532279763	[2,5,9,11,19,10614,10634,10740,10816,10900,11056,11176,15276,15912,15922,15942,15958,15959,15970,15971,15973,16440]	[1,1,4,1,4,1,1,4,4,1,1,1,19,14,4,4,1,1,1,1,4,1]
2105130426194946162	[2,14,10697,10900,15276,15923,15970]	[1,1,1,1,1,1,1]
2105357380360084191	[7,10518,10525]	[8,8,8]
2105493125212217249	[1,6,11144,15276,15929,15931,15932,15952,15958,15978,15982,16017]	[6,23,23,12,6,6,1,1,2,1,5,1]
2105601259495399741	[6,11144]	[23,23]
2105640192417115541	[1,6,13,10274,10278,10298,11101,11104,11144,15276,15929,15932,15957,16002]	[6,34,4,1,6,6,1,1,34,10,6,4,4,1]
2105908266702583502	[15276,15912]	[4,4]
2105938075185425157	[1,6,13,10274,11101,11104,11144,15276,15929,15932,15957,16002]	[83,4,3,2,1,1,4,86,83,3,3,2]
2106072258523068442	[1,2,5,6,8,19,10276,10634,10740,10816,11033,11144,11146,11176,15276,15911,15929,15932,15935,15936,15958,15963,15967,15971,15987,15998,16440,16442,16458,16460,16477,16483]	[12,1,1,8,1,26,12,1,26,26,1,4,4,1,172,1,8,2,2,1,165,9,8,1,1,8,1,9,4,4,4,1]
2106078719844708376	[2,6,16,19,10740,10816,10850,10900,11144,15276,15934,15958,15970,15977]	[64,34,1,9,9,9,5,64,34,21,5,5,15,1]
2106331851868685341	[2,6,16,19,10742,10767,10900,11144,15276,15953,15977]	[1,28,1,1,1,1,1,28,2,1,1]
2106343041695060208	[1,6,13,10274,10278,10298,11144,11146,15276,15929,15932,15935,15937,15957,15958,15959,15960,15962,15971,15975,15978,16002,16017,16440,16446]	[40,88,2,14,35,35,88,1,46,38,2,1,1,2,1,3,3,1,1,1,1,10,1,1,1]
2106443651097698911	[6,9,19,10603,10740,10816,11047,11050,11051,11108,11110,11144,15276,15922,15928,15931,15932,15942,15958,15973]	[55,15,1,3,1,1,10,3,3,3,10,55,12,1,3,2,4,2,2,1]
2106473278629019109	[9,15276,15942]	[1,1,1]
2106617266815344890	[1,6,11144,11146,15276,15929,15931,15932,15935,15938,15958,15978,16446,16458]	[1,67,64,1,4,1,3,3,1,3,1,3,1,1]
2106623545575217142	[6,9,11055,11144,15276,15937,15975]	[39,2,2,39,1,1,1]
2106628303792106302	[6,9,13,11055,11144,15276,15931,15932,15937,15942,15957,15958,15975,15978]	[36,14,1,12,36,10,1,2,4,2,1,1,4,1]
2106698070937887033	[7,10519,10523,10527,10535,15276,15928,15931,15937,15958,15959,15960,15975,15991,16441,16443,16447]	[41,15,26,15,26,21,7,3,4,14,3,3,4,2,2,2,5]
2106795060715670883	[2,6,8,13,10900,11033,11144,15276,15911,15932,15936,15953,15957,15970]	[25,43,1,1,25,1,43,8,1,1,1,1,1,7]
