2226120131589175205	[15276,15911]	[6,6]
2226246980900836620	[9,11050,11053,15276,15942]	[3,3,3,3,3]
2226273174264194264	[6,11144,15276,15912,15932,15937,15953,15958,15975,15978,16017,16441,16443]	[19,19,6,1,3,1,1,1,1,3,2,1,1]
2226481907315231488	[1,6,10278,10298,11144,11146,15276,15932,15935,15971,15987]	[3,39,3,3,36,3,4,3,3,1,1]
2226563089772772624	[6,9,19,10740,10742,10816,11050,11053,11076,11142,11144,11146,11155,15276,15911,15922,15932,15935,15942,15954,15955,15958,15973,16455]	[60,2,2,2,1,2,2,2,1,42,4,14,1,69,1,1,54,13,2,42,1,2,2,1]
2226943178054215312	[18,19,10740,10816,15276,15928,15948,15988]	[1,14,14,14,14,14,1,1]
2227375485816409312	[2,6,19,10742,10767,10901,10906,11142,11144,11146,15276,15932,15935,15954,15955,15959,15960,15970]	[1,8,1,1,1,1,1,4,1,3,12,5,3,2,1,9,9,1]
2227827994468967554	[6,13,11144,15276,15932,15957]	[3,1,3,1,1,1]
2228026896904372087	[6,19,11076,11146,11155,15276,15932,15935]	[3,1,1,3,1,3,3,3]
2228069062217076049	[1,2,12,17,10279,10900,10902,10913,11184,11185,15276,15929,15938,15941,15967,15970,16010]	[3,3,3,1,2,2,1,1,1,1,8,3,1,3,2,1,3]
2228271468455588303	[6,13,11142,11144,11146,15276,15932,15935,15954,15957,15978,15980,16014,16017]	[110,1,11,105,4,19,19,4,11,1,1,1,1,1]
2229444672595620255	[6,9,11050,11053,11142,11144,15276,15931,15932,15942,15954,15958,15959,15960]	[53,11,11,11,21,32,35,2,21,11,22,2,1,1]
2229689644617881123	[1,19,10740,10816,15276,15922,15929,15973]	[1,1,1,1,2,1,1,1]
2230139586573570335	[6,9,19,10740,10816,11076,11144,11155,15276,15922,15942,15965,15973]	[12,3,6,2,2,4,12,4,6,1,3,2,2]
2230499077649678835	[2,11,19,10740,10816,10900,11060,15276,15922,15945,15958,15973]	[1,2,1,1,1,1,1,10,1,2,7,1]
2230996549058365318	[2,6,19,10740,10901,10904,11142,11144,15276,15922,15932,15954,15959,15960,15965]	[1,15,1,1,1,1,1,14,8,1,1,1,1,1,5]
2231302028471593216	[6,11144]	[72,72]
2231665093484754542	[1,6,10272,10279,10281,11144,15276,15929,15967]	[2,4,2,2,2,4,2,2,2]
2231784651025930426	[2,6,7,13,19,10520,10532,10740,10816,11033,11144,11146,15276,15932,15935,15936,15948,15957,15959,15960,15969,15970,15971,15978,15987,16017]	[1,174,2,4,22,2,2,22,22,1,156,20,24,16,13,1,2,4,1,1,2,1,3,1,3,1]
2231901718262570003	[2,5,19,10634,10742,10767,10900,10901,10907,11176,15276,15930,15958,15970,15971,16440]	[1,1,1,1,1,1,1,1,1,1,7,1,6,1,1,1]
