2605042370306875462	[6,11144]	[23,23]
2605110913520185425	[6,19,10740,10816,11076,11142,11155,15276,15912,15922,15932,15954,15973]	[8,6,6,6,4,8,4,26,12,2,10,19,6]
2605127948609331339	[6,11144]	[5,5]
2605128915858160508	[2,10900,15276,15912]	[1,1,61,61]
2605156040652635503	[1,6,10279,11144,11146,15276,15929,15932,15935,15958,15959,15960,15967,16458,16460]	[1,38,1,35,3,57,1,3,3,1,53,2,1,1,1]
2605393838984733942	[1,2,6,17,10274,10278,10298,10709,10900,10902,10911,11144,15276,15919,15929,15970,16002]	[5,2,1,2,5,5,5,2,2,2,2,1,7,2,5,2,5]
2605498693257405097	[1,6,9,19,11050,11052,11076,11144,11155,15276,15929,15942]	[5,65,8,1,6,6,1,65,1,13,5,8]
2605522032918908185	[6,11144,15276,15921]	[3,3,1,1]
2605528620266755412	[1,2,6,13,19,10278,10298,10740,10813,10816,10900,11076,11144,11146,11155,15276,15922,15929,15932,15935,15957,15958,15970,15971,15973,16440,16446]	[3,1,37,2,25,3,3,23,1,22,1,14,37,1,14,29,22,2,3,1,2,1,1,1,22,1,1]
2605590599196389978	[7,10518,10520,10525,10929,15276,15928,15995]	[13,5,13,5,13,5,5,5]
2605656793863742127	[2,6,19,10740,10900,10901,10904,11076,11144,11150,15276,15922,15944,15970]	[2,5,1,1,1,1,1,1,5,1,2,1,1,2]
2605663309247387835	[5,6,10634,11144,11176,15276,15958]	[1,6,1,6,1,6,6]
2605692494574504907	[2,6,10900,11144,11146,15276,15932,15958,15970,15971,15987,16440,16483]	[1,21,1,15,6,4,2,1,1,1,1,1,1]
2605813393684585971	[6,11144]	[3,3]
2605866979370202742	[6,8,11144,15276,15936]	[1,6,1,6,6]
2606132895983578309	[19,10740,10816,11076,11155,15276,15922,15973]	[5,4,4,5,5,4,4,4]
2606231396820867765	[2,5,6,13,10634,10854,10896,11101,11104,11144,11146,11176,15276,15932,15935,15957,15958,15970,15976,15978,16012,16013,16454,16455,16456,16474]	[1,1,9,2,1,1,1,1,1,8,1,1,7,5,1,2,2,1,2,3,1,2,2,2,2,2]
2606346260315340758	[2,6,19,10740,10816,10901,10904,11144,15276,15922,15973]	[1,23,2,2,1,1,1,23,2,2,1]
2606425154866146598	[1,6,10274,11144,15276,15929,16002]	[12,2,12,2,12,12,12]
2606481256051850364	[15276,15932]	[1,1]
