3768187161312832298	[6,11144,15276,15931,15958]	[28,28,2,2,2]
3768210095916257269	[2,7,10518,10525,10900,15276,15928,15958,15970,15991,15995]	[1,8,8,8,1,7,1,2,1,3,1]
3768261504026231147	[6,13,19,10740,10816,11144,15276,15922,15932,15948,15957,15958,15963,15969,15973,16442]	[23,1,27,27,27,23,6,1,1,3,1,4,1,3,1,1]
3768419645002351526	[15276,15958]	[2,2]
3768453398771180999	[9,19,10740,10816,11050,11052,11053,15276,15922,15942,15973]	[18,2,2,2,13,4,9,20,2,18,2]
3768783749408951432	[2,5,6,19,10634,10740,10816,10900,11144,11146,11176,15276,15922,15932,15935,15958,15961,15964,15970,15973]	[3,3,8,1,3,1,1,3,8,2,3,16,1,2,2,9,3,4,3,1]
3768839485375581923	[6,11144,15276,15958]	[3,3,2,2]
3769133490051032325	[15276,15912]	[4,4]
3769169965564140100	[6,11144,11146,15276,15932,15935]	[35,35,1,1,1,1]
3769242673552451513	[2,6,13,10900,11101,11104,11144,15276,15928,15932,15957,15970,15971,15987]	[2,26,1,2,1,1,26,6,2,1,1,2,1,1]
3769246474954077878	[1,10278,10298,15276,15929]	[10,10,10,10,10]
3769267230130395061	[6,9,13,11047,11110,11144,11146,15276,15932,15935,15942,15957]	[49,20,6,18,18,49,1,10,7,1,3,6]
3769276219226664529	[6,11144,15276,15912,15958,15975,16441]	[4,4,14,8,6,2,2]
3769363445771460213	[19,10740,10742,10816,11076,11155,15276,15912,15955,15958,15973]	[1,1,1,1,1,1,5,2,1,2,1]
3769459994066800773	[6,11144]	[4,4]
3769470294422284989	[6,13,11144,15276,15932,15957,15958]	[2,1,2,6,1,1,5]
3769494559636924718	[2,6,10850,10900,11144,15276,15934,15958,15963,15970,16442]	[29,5,1,29,5,4,1,1,1,3,1]
3769554062121428117	[2,3,6,13,10255,10256,10847,10860,11144,15276,15932,15957,15975]	[1,1,31,2,1,1,1,1,31,4,2,2,2]
3769674378868164303	[2,19,10740,10813,10814,10900,10901,10904,10907,11076,11150,15276,15922,15930,15933,15941,15944,15965,15970,15992]	[20,4,4,1,2,16,6,4,2,3,3,19,4,8,8,1,3,1,12,1]
3769787079919341087	[11,11060,15276,15945,15958,15963,16442]	[1,1,3,1,2,1,1]
