2217749181630429361	[6,11144]	[3,3]
2217824947489103160	[6,9,10603,11108,11142,11144,15276,15932,15954,15958]	[20,2,2,2,4,16,7,6,4,1]
2217830927575624030	[1,5,6,11,13,19,10279,10634,10740,10816,11060,11076,11144,11155,11176,15276,15922,15929,15932,15945,15953,15957,15958,15967,15971,15973,15975,16440,16441,16452]	[1,1,10,1,3,3,1,1,2,2,1,1,10,1,1,40,2,1,3,1,1,3,33,1,22,2,1,22,1,1]
2217934539142514638	[2,10,10900,15276,15920]	[1,1,1,1,1]
2217996280283337314	[19,10740,10816,15276,15922,15973]	[1,1,1,1,1,1]
2218032544248346684	[15276,15982]	[2,2]
2218153923308966725	[6,13,11144,15276,15932,15957]	[1,1,1,1,1,1]
2218355567030123533	[6,11144,15276,15932,15978]	[35,35,1,1,1]
2218487579657810795	[1,2,6,10900,11144,15276,15929,15958]	[1,1,2,1,2,4,1,3]
2218553936408006062	[2,6,10900,11144,15276,15930,15933,15970]	[1,4,1,4,1,1,1,1]
2218657867873298941	[6,13,11101,11144,15276,15932,15957,15958,15959,15960]	[23,2,1,23,5,2,2,3,1,1]
2218790552554068610	[2,4,6,19,10332,10740,10816,10850,10871,10900,11142,11144,11146,15276,15922,15932,15935,15954,15959,15960,15970,15973,15986]	[2,1,23,1,1,1,1,1,1,1,17,3,3,44,1,20,3,17,22,22,1,1,1]
2218910239498904488	[6,11144]	[1,1]
2218955807208197636	[5,6,14,10634,11144,11176,15276,15958,15966]	[1,3,1,1,3,1,24,23,1]
2219033882431335989	[6,13,11144,15276,15932,15957,15958,15978,15985,16455,16456]	[65,4,60,11,11,4,2,5,4,2,2]
2219133563805461406	[6,11144]	[21,21]
2219167926926176154	[6,11144,15276,15912]	[11,11,44,44]
2219168731084318823	[2,6,10854,10896,10900,11144,15276,15931,15932,15958,15970,15976,16012,16013,16454,16455,16474]	[48,10,1,1,47,10,3,1,1,2,1,1,1,1,1,1,1]
2219292618805528551	[6,11142,11144,15276,15932,15954]	[75,40,35,40,40,40]
2219308625780453856	[2,6,12,10854,10896,11144,15276,15941,15958,15959,15963,15970,16010,16012,16016,16442,16467]	[1,138,1,1,1,138,8,1,5,1,1,1,1,1,1,1,1]
