1672832594483499671	[6,11144]	[6,6]
1672840463909147335	[6,9,11144,15276,15932,15942,15958,15959,15978,16463]	[33,2,33,6,2,2,2,1,2,1]
1673131046349281979	[2,10900,15276,15912,15970]	[1,1,29,28,1]
1673156097775347001	[6,11146,15276,15932,15935]	[2,2,2,2,2]
1673186421591553265	[1,2,6,9,16,19,10272,10274,10278,10279,10281,10298,10600,10740,10816,10900,11055,11144,15276,15913,15922,15929,15932,15933,15937,15942,15952,15958,15967,15970,15973,15975,15977,15978,16002,16005,16017,16441,16443]	[5,1,43,5,1,2,1,1,3,1,1,3,2,2,2,1,2,43,18,1,2,5,1,1,1,3,1,3,1,1,2,1,1,1,1,1,1,1,1]
1673338640423816364	[1,6,19,10740,10816,10922,11144]	[1,3,11,11,11,1,3]
1673798697492623196	[2,6,9,13,19,10740,10816,10901,10904,11055,11076,11144,11155,15276,15922,15931,15932,15937,15942,15957,15958,15973,15975]	[1,12,17,1,5,5,4,1,1,6,4,12,4,22,5,2,1,3,11,1,2,5,3]
1673841180592673608	[2,3,6,10847,10850,10876,10900,11144,11146,15276,15915,15925,15934,15935,15970,15975]	[28,2,4,2,1,1,28,3,1,14,2,2,1,1,13,1]
1673861113583553074	[6,11144,15276,15953]	[10,10,1,1]
1673931620670273697	[15276,15931,15958]	[1,1,1]
1674002962395507112	[6,13,11144,15276,15932,15952,15957,15958,15959,15960]	[30,4,30,21,5,1,4,15,1,1]
1674109701639918835	[1,10272,10281]	[6,6,6]
1674158255827087791	[1,6,19,10272,10279,10281,10740,10816,11144,11146,15276,15929,15932,15935,15967]	[16,9,24,14,2,14,24,24,3,6,10,4,6,6,2]
1674212103013051061	[6,11,19,10742,10765,10767,11061,11063,11144,15276,15958,15989]	[6,2,2,2,1,1,2,2,6,4,2,2]
1674421745297105845	[15276,15912,15931,15958]	[2,1,1,1]
1674485995420221961	[6,12,11144,15276,15941,15958,15963,16010,16442]	[3,8,3,18,8,10,1,8,1]
1674506323340285370	[1,6,10274,10278,10298,11144,15276,15929,15931,15958,16002]	[1,43,1,1,1,43,4,1,3,3,1]
1674564781296288194	[15276,15931,15958,15971,16440]	[7,1,7,1,1]
1674837717787184039	[15276,15912,15973]	[8,8,1]
1674863273563608497	[2,7,10520,10533,10900,15276,15928]	[3,3,3,3,3,8,8]
