10139699845186679583	[19,10740,10816,15276,15922,15973]	[3,3,3,1,1,1]
10139702199633813137	[6,13,11101,11104,11144,11146,15276,15932,15935,15938,15957,15971]	[26,10,10,10,24,3,10,3,3,1,5,1]
10139736909945411542	[6,11144]	[4,4]
10139739079941938394	[6,11144]	[2,2]
10139760088569176662	[2,6,7,13,10518,10519,10525,10528,10900,11144,15276,15928,15931,15932,15952,15953,15957,15958,15959,15960,15976,15995]	[1,65,3,1,1,2,1,2,1,65,16,1,5,1,2,2,1,8,1,1,1,1]
10139775713032412687	[15276,15931,15958]	[3,3,3]
10139776545311061413	[6,11144,11146,15276,15932,15935,15937,15958,15971,15975,16440,16441,16446]	[24,19,6,45,5,6,3,37,2,14,2,11,1]
10139782128039237138	[2,10900,15276,15958,15970]	[28,28,4,2,2]
10139788489846876779	[2,6,11,10900,11060,11144,11146,15276,15932,15935,15945,15958,15970]	[2,100,1,2,1,36,64,69,65,64,1,1,1]
10139816453369933047	[2,19,10740,10816,10900]	[16,4,4,4,16]
10139838471125295487	[1,6,10272,10282,11144,15276,15928,15929,15931,15958]	[11,34,11,11,34,2,1,1,1,1]
10139838873793988922	[2,6,11,10900,11144,15276,15912,15945]	[2,4,1,2,4,13,12,1]
10139865153418823149	[1,6,13,10274,10279,10922,11144,11147,15276,15929,15931,15932,15941,15943,15957,15958,15967,16002,16451]	[25,23,9,7,19,6,21,2,41,24,1,9,2,4,9,5,19,1,4]
10139868234950279444	[6,11144]	[3,3]
10139889158283919689	[1,10274,15276,15958]	[1,1,1,1]
10139913994328737692	[6,9,13,10603,11108,11144,15276,15928,15932,15942,15957]	[64,9,2,8,8,64,5,2,2,1,2]
10139928528977781636	[1,6,13,11101,11104,11144,15276,15929,15932,15957]	[2,8,4,3,3,8,6,2,4,3]
10139944912598803570	[2,4,16,10326,10364,10850,10865,10900,10947,10952,15276,15931,15934,15958,15970,15971,15977,15983,16440]	[5,2,1,2,2,2,2,5,1,1,12,1,2,6,5,2,1,1,2]
10139945666065186540	[15276,15911]	[2,2]
10139964420900492902	[2,7,10518,10525,10902,10913,15276,15928,15948,15969,15995,16007]	[1,1,1,1,1,1,1,1,1,1,1,1]
