6732627050568808801	[6,11144]	[1,1]
6733144745835750360	[2,6,9,12,19,10740,10901,10904,11055,11146,15276,15922,15932,15935,15941,15942,15948,15958,16010]	[2,2,1,2,2,2,2,2,1,2,10,2,1,2,2,1,2,3,2]
6733858562266691043	[2,6,10854,10896,11144,15276,15932,15958,15970,15976,15978,16012,16013,16454,16455,16456,16474]	[1,10,1,1,10,3,1,2,1,2,1,1,2,2,1,1,2]
6734138327340414563	[6,13,11144,15276,15932,15957,15978,16017]	[26,1,26,2,2,1,1,1]
6736785613581599533	[1,9,10274,10278,10279,10298,15276,15929,15942,15967,16002]	[11,6,1,8,2,8,17,11,6,2,1]
6737260439352003273	[6,11146,15276,15932,15935,15958,15963,16442]	[4,4,5,4,4,1,1,1]
6745773213170027210	[9,10603,11108]	[2,2,2]
6747077919970549048	[6,8,11144,15276,15936]	[13,1,13,1,1]
6747258738040151512	[2,6,10900,11144,15276,15932,15935,15970]	[1,13,1,13,1,1,1,1]
6751854266690013438	[2,9,10900,11047,11110,15276,15938,15969,15970]	[5,13,5,13,13,13,3,5,5]
6752987144610443239	[2,6,9,17,19,10740,10815,10900,10902,10913,11055,11144,11146,11184,11185,15276,15932,15935,15958,15961,15970]	[22,20,2,4,1,1,1,19,3,3,2,18,2,4,4,13,2,2,6,2,5]
6759903180334650457	[15276,15912]	[1,1]
6760745446294275148	[6,19,10740,10742,10816,11076,11144,11155,15276,15938,15955,15958,15973]	[35,1,1,1,1,1,35,1,8,6,1,1,1]
6762539622908161903	[1,6,19,10278,10279,10300,10740,10816,11076,11142,11144,11155,11159,15276,15922,15929,15932,15954,15958,15959,15960,15962,15967,15973]	[47,42,19,46,1,46,9,9,19,2,40,1,18,68,9,47,5,5,2,5,2,5,1,9]
6768348914395087368	[2,10901,10906]	[1,1,1]
6774391807069789034	[1,6,10274,10278,10298,11144,15276,15929,15931,15932,15958,15978,16002,16017]	[28,39,17,28,28,39,35,28,3,4,3,4,17,3]
6776801080275951332	[7,9,19,10519,10527,10740,10816,15276,15912,15922,15942,15958,15973]	[2,3,3,2,2,3,3,21,11,3,3,7,3]
6778030892046077747	[1,6,10274,10922,11144,15276,15929,15959]	[10,1,1,8,1,4,1,3]
6779566907865297804	[6,11144]	[4,4]
6782025213998164122	[2,6,19,10744,10746,10900,11144,15276,15958,15970]	[2,20,1,1,1,2,20,2,1,1]
