4019279288724451365	[12,15276,15912,15941,15958,15963,15971,16010,16440,16442]	[10,53,12,10,31,1,19,10,19,1]
4019342655003579664	[1,19,10278,10298,10740,10816,10922,11076,11155,15276,15911,15958,15973]	[5,2,4,4,2,2,1,2,2,3,1,1,2]
4019403990722460835	[7,10519,10527,15276,15958,15963,16442]	[2,2,2,18,18,6,6]
4019409613618755606	[6,11144,11146,15276,15935,15952,15958,15971,16440,16446]	[11,11,1,3,1,2,1,1,1,1]
4019489348952514008	[6,11144]	[3,3]
4019576925977935173	[5,10634,11176,15276,15958,15963,16442]	[1,1,1,18,18,3,3]
4019647002038195323	[1,2,6,7,13,19,10278,10298,10300,10520,10530,10740,10742,10765,10767,10813,10848,10900,10901,10904,11076,11144,11150,15276,15916,15922,15929,15931,15932,15944,15957,15959,15960,15970,15978,15980,16017]	[4,12,88,1,1,12,4,2,2,1,1,9,12,1,11,4,1,11,6,6,6,88,6,23,1,6,4,1,2,6,1,3,3,11,1,1,1]
4019665667085791665	[6,11146,15276,15932,15935]	[4,4,4,4,4]
4019808377298944368	[1,6,9,19,10278,10298,10600,10740,10816,11076,11144,11146,11148,11155,15276,15912,15922,15929,15931,15932,15935,15959,15960,15973,15978,16017]	[5,37,4,5,2,2,4,3,3,4,27,10,2,2,35,15,1,3,2,11,10,1,1,3,1,1]
4019829089698082456	[15276,15958]	[8,8]
4019851194548806195	[9,11050,11053,15276,15942]	[23,23,23,23,23]
4019888280502238576	[6,9,11144,15276,15942]	[27,1,27,1,1]
4019970861195539213	[19,10740,10816,11076,11155,15276,15912,15941,15973]	[1,1,1,1,1,35,33,1,1]
4020013617137925930	[15276,15958]	[1,1]
4020075572829083556	[6,11144,15276,15931,15958]	[19,19,3,3,3]
4020106052910840205	[6,11144,15276,15931,15958]	[10,10,4,4,4]
4020110637820137327	[15276,15931]	[1,1]
4020119764588154932	[6,11144,11146,15276,15932,15935,15958,15959,15963,15978,15992,16017,16442]	[18,18,1,5,3,1,1,1,1,2,1,2,1]
4020139796831868218	[6,13,11144,15276,15932,15957,15978,16017]	[69,5,69,7,7,5,1,1]
4020141812363852971	[6,11144]	[4,4]
