1502797069822991123	[6,11144]	[33,33]
1502803091049748774	[6,13,11144,15276,15932,15957,15958]	[54,8,54,13,7,8,5]
1502830044158327275	[6,11144,15276,15931,15958,15971,16440]	[12,12,10,8,10,2,2]
1503199796806003358	[6,12,13,11144,15276,15932,15941,15957,15958,16010]	[26,9,2,26,13,2,9,2,2,9]
1503347634840358607	[1,2,3,6,10274,10847,10900,11144,15276,15915,15925,15932,15962,15970,15978,16017]	[2,17,1,12,2,1,17,12,4,1,1,1,2,2,1,1]
1503784365348859964	[15276,15958,16016,16467]	[2,2,2,2]
1503969114280136391	[6,11144,15276,15931,15958]	[5,5,2,2,2]
1504021329212185538	[19,10740,10816,15276,15922,15928,15943,15958,15969,15973,15991,16451]	[72,72,72,10,1,4,5,5,6,1,1,5]
1504133139184363134	[2,10900,15276,15958,15963,15969,15970,16442]	[1,1,17,16,2,1,1,2]
1504353166063376404	[6,11144]	[3,3]
1504353748881031222	[6,9,19,10740,10816,11047,11110,11142,11144,15276,15922,15932,15942,15954,15958,15973]	[128,31,1,1,1,27,27,2,128,10,1,2,4,2,3,1]
1504374110467524820	[2,6,19,10742,10744,10747,10767,10900,10901,10906,11144,15276,15912,15953,15955,15970]	[2,2,2,1,1,1,1,1,1,1,2,10,8,1,1,1]
1504934491970063426	[2,10900,15276,15970]	[63,63,18,18]
1505000242269279041	[6,11144,15276,15912]	[5,5,36,36]
1505068327480295724	[2,4,5,6,7,10,17,10332,10519,10527,10634,10710,10850,10871,10900,10902,10910,11144,11146,11176,15276,15919,15920,15927,15932,15935,15956,15958,15970,15986,16449,16492]	[8,2,1,13,3,1,1,2,3,3,1,1,2,2,5,1,1,1,12,1,22,1,1,1,12,12,2,2,5,2,1,1]
1505207046139988624	[1,11,16,15276,15929,15945,15977]	[3,1,1,5,3,1,1]
1505207207363790804	[1,9,10274,10279,10922,11050,11053,15276,15929,15942,15943,15958,15967,16002,16451]	[45,3,37,4,5,3,3,50,8,3,33,1,4,32,1]
1505243852034932939	[1,6,19,10278,10300,10740,10816,11144,15276,15922,15927,15973]	[14,9,1,14,14,1,1,9,2,1,1,1]
1505717193616377734	[2,10900,10901,10907,15276,15970]	[1,1,1,1,1,1]
1505793099788670475	[1,6,10274,11144,15276,15929,16002]	[2,4,2,4,2,2,1]
