10117485067120310197	[15276,15958]	[1,1]
10117498834305928046	[6,11144,15276,15912,15958]	[49,49,7,6,1]
10117510231167921418	[6,11144,15276,15912]	[9,9,3,3]
10117517621324702880	[2,6,8,9,12,13,19,10740,10742,10816,10854,10896,10901,10904,11076,11142,11144,11155,15276,15922,15930,15932,15936,15937,15941,15942,15952,15953,15954,15955,15957,15958,15959,15960,15963,15970,15973,15975,15978,15992,16010,16012,16016,16017,16441,16442,16443,16455,16456,16457]	[2,341,2,2,3,4,3,3,2,2,1,1,1,1,2,1,341,2,49,1,1,28,2,1,3,2,1,2,1,2,4,5,3,2,3,2,2,1,20,1,3,1,1,5,1,3,1,1,1,1]
10117536194145814121	[1,6,10278,10298,11146,15276,15932,15935]	[3,2,3,3,2,2,2,2]
10117536660641848168	[6,13,19,11076,11144,11159,15276,15932,15957]	[6,2,1,1,6,1,2,2,2]
10117540822438519215	[9,11050,11053,15276,15931,15942,15958]	[4,4,4,5,1,4,1]
10117568354779806749	[2,6,19,10740,10742,10765,10767,10816,10900,11076,11144,11148,15276,15922,15932,15970,15973,15976]	[22,3,12,1,9,8,1,1,22,2,1,2,8,1,2,5,1,2]
10117573094616819157	[6,19,10740,10816,11144,15276,15931,15952,15958,15959]	[7,7,7,7,7,5,1,1,1,3]
10117574312447479705	[6,11,13,11060,11144,11146,15276,15932,15935,15936,15941,15945,15952,15953,15957,15958,15975,15978,16017,16441,16450,16453]	[94,1,1,1,94,4,16,11,4,1,1,1,1,1,1,3,1,6,5,1,1,1]
10117575357581230152	[1,6,10272,10276,10279,10281,11144,15276,15929,15958,15967,15998]	[5,4,2,2,2,2,4,9,5,4,4,2]
10117624009051426493	[1,2,6,10274,11033,11039,11144,15276,15929,15949,15970]	[6,1,28,1,1,1,28,7,6,1,1]
10117634303688343562	[9,11050,11053,15276,15942]	[10,10,10,10,10]
10117654080389175105	[6,11144]	[3,3]
10117654330494687566	[6,11142,11144,15276,15932,15954,15959,15960]	[41,25,16,29,25,25,4,4]
10117669531381282342	[1,10278,10279,10298,15276,15912,15929,15937,15958,15967,15975,16441,16443]	[3,1,2,1,5,2,2,1,1,2,1,1,1]
10117686551483841188	[1,6,8,9,19,10274,10278,10298,10740,10816,11144,11146,15276,15922,15929,15932,15935,15936,15942,15973,16002]	[7,22,1,1,1,1,7,7,1,1,17,5,20,1,7,11,5,1,1,1,1]
10117698517732654033	[18]	[11]
10117707060640206668	[6,11144]	[3,3]
10117713252946028174	[6,11144,11146,15276,15932,15935,15976]	[8,2,6,7,6,6,1]
