5060182347632924968	[6,11144]	[1,1]
5060184362494901375	[6,11144]	[2,2]
5060244902170233420	[9,15276,15942]	[2,2,2]
5060275819852981840	[1,6,13,10274,10278,10298,11144,15276,15929,15932,15957,16002]	[1,10,1,1,1,1,10,2,1,1,1,1]
5060276172378185690	[6,11146,15276,15912,15932,15935]	[3,3,39,36,3,3]
5060308515858526574	[6,9,13,19,10740,10816,11144,15276,15922,15932,15942,15957,15973]	[19,3,2,2,2,2,19,5,2,1,3,2,2]
5060316380186908626	[6,19,10740,10816,11076,11144,11155,15276,15922,15931,15958,15973]	[8,3,3,3,3,8,3,6,3,2,3,3]
5060367131027188926	[6,11144,15276,15937,15941,15958,15959,15960,15963,15975,16441,16442,16443]	[17,17,34,1,1,31,2,2,13,1,1,13,1]
5060367449305093199	[6,11144,11146,15276,15932,15935]	[10,3,7,7,7,7]
5060479810921564122	[1,6,19,10272,10274,10281,11076,11088,11144,15276,15928,15929,15947,15958,15976,15980,16002]	[18,25,4,14,4,14,4,4,25,19,4,14,1,1,4,4,4]
5060502292445311937	[15276,15912,15937,15958,15975,16441,16443]	[3,2,1,1,1,1,1]
5060505203794075238	[6,13,11144,15276,15932,15957,15959,15978,16017]	[41,5,41,6,6,5,1,1,1]
5060537027671597458	[6,11144]	[2,2]
5060551948935844453	[6,9,19,10740,10816,11050,11052,11144,15276,15912,15922,15941,15942,15947,15952,15958,15959,15960,15971,15973,15975,16440,16444]	[40,30,1,1,1,30,30,40,46,5,1,3,30,1,1,2,4,4,1,1,30,1,1]
5060582056245732394	[15276,15912,15958]	[41,39,2]
5060586465899148989	[6,13,19,10740,10816,11144,11146,15276,15922,15932,15935,15957,15958,15971,15973,15978,15985,16017,16440,16446]	[20,1,5,5,5,17,3,17,1,2,3,1,12,3,1,1,2,1,3,3]
5060589048167222795	[2,10900,15276,15912,15970]	[76,76,81,81,76]
5060591780914461059	[11,11060,15276,15945,15958,15963,16442]	[1,1,14,1,13,6,6]
5060643915298079375	[1,6,10272,10278,10281,10298,11144]	[17,1,9,8,9,8,1]
5060703154264825306	[12,15276,15941,16010]	[1,1,1,1]
