3183418493636475386	[15276,15912]	[3,3]
3183725040316502253	[2,3,5,6,11,10614,10634,10847,11060,11144,11176,15276,15915,15932,15936,15945,15958,15970,15975,15989,16441,16450,16453]	[1,1,1,9,42,6,1,1,1,9,1,50,1,2,1,41,7,1,1,7,1,1,1]
3183726751348072837	[2,6,14,10900,10937,11144,15276,15966]	[6,2,13,6,7,2,13,13]
3183816803286025597	[6,11144]	[4,4]
3183926279815850266	[19,10740,10816,15276,15928]	[4,4,4,8,8]
3184003226832617894	[1,2,12,19,10279,10740,10742,10765,10816,10849,10900,15276,15922,15929,15941,15967,15970,15973,16010]	[1,2,26,11,1,2,9,9,2,1,1,30,2,1,26,1,1,2,26]
3184180234708178592	[2,6,8,13,19,10740,10816,10967,11001,11033,11034,11144,15276,15912,15922,15932,15953,15957,15973]	[1,13,1,2,5,5,5,1,1,1,1,13,11,1,5,2,3,2,5]
3184263832870923773	[6,11144,11146,15276,15931,15935,15958,15971,16440,16446]	[13,12,1,2,1,1,1,1,1,1]
3184310573641393285	[6,11144]	[1,1]
3184329208211714624	[6,9,19,11076,11144,11146,11155,15276,15932,15935,15942]	[8,1,1,1,6,2,1,3,2,2,1]
3184334500215149769	[1,6,10274,11144,15276,15929,15958,16002]	[1,4,1,4,3,1,2,1]
3184443064525334232	[6,11142,11144,15276,15912,15932,15954]	[29,7,22,11,4,7,7]
3184732385320158447	[1,6,10272,10279,10281,11142,11144,11146,15276,15929,15932,15935,15954,15958,15967,16455,16485]	[2,71,2,2,2,6,71,5,16,2,13,5,7,1,2,1,1]
3184757742743548739	[6,9,11055,11144,15276,15937,15942,15975]	[4,6,2,4,5,1,4,1]
3184815420566480034	[6,11146,15276,15932,15935]	[8,8,8,8,8]
3185024497419821677	[15276,15931,15958]	[7,7,7]
3185033824849356485	[2,6,13,10900,11144,15276,15932,15952,15957]	[1,132,19,1,132,21,20,2,19]
3185034672382823265	[1,10276,10279,15276,15929,15967]	[2,2,1,1,1,1]
3185100571487889136	[6,9,11050,11051,11144,15276,15942]	[42,2,2,2,42,1,1]
3185195116988332250	[6,9,13,11050,11052,11053,11144,15276,15932,15942,15957,15958,15978]	[123,23,1,23,19,4,123,27,1,23,1,2,1]
